,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
275,karratha,96,AU,1612046532,52,-20.7377,116.8463,87.64,4.09
276,ciudad bolivar,86,VE,1612046690,65,8.1222,-63.5497,82.35,13.6
277,yumen,0,CN,1612046690,74,40.2833,97.2,22.15,24.25
278,matagami,90,CA,1612046691,84,49.7502,-77.6328,-2.2,4.61
279,odoyev,100,RU,1612046691,98,53.9393,36.6864,23.31,8.81
280,monterey,86,US,1612046691,48,36.2505,-121.2516,61.0,8.01
281,dire dawa,0,ET,1612046403,37,9.5931,41.8661,61.0,1.45
282,ushtobe,100,KZ,1612046691,84,45.2514,77.9838,12.76,1.52
283,axim,76,GH,1612046692,86,4.8699,-2.2405,79.39,8.34
284,ha tinh,97,VN,1612046692,92,18.3333,105.9,65.25,3.31
285,snyder,90,US,1612046692,19,32.7179,-100.9176,64.4,18.41
286,huarmey,69,PE,1612046692,68,-10.0681,-78.1522,74.23,10.98
287,suruc,90,TR,1612046692,100,36.9761,38.425,37.4,20.71
288,rawson,2,AR,1612046693,53,-43.3002,-65.1023,62.02,18.23
289,marsabit,40,KE,1612046693,50,2.3284,37.9899,66.36,8.08
290,tabuk,100,PH,1612046693,88,17.4189,121.4443,63.52,3.13
291,nabire,97,ID,1612046693,85,-3.3667,135.4833,78.8,2.95
292,baza,34,ES,1612046693,66,37.4907,-2.7726,48.0,26.4
293,san quintin,0,MX,1612046694,59,30.4833,-115.95,60.87,11.25
294,laguna,1,US,1612046676,51,38.421,-121.4238,61.0,5.75
295,xuddur,6,SO,1612046694,83,4.1213,43.8894,65.46,14.41
296,riachao das neves,90,BR,1612046414,44,-11.7461,-44.91,80.83,1.34
297,mildura,0,AU,1612046401,68,-34.2,142.15,68.0,11.5
298,garowe,0,SO,1612046694,84,8.4054,48.4845,63.66,7.99
299,houma,75,US,1612046657,64,29.5958,-90.7195,72.0,13.8
300,port elizabeth,0,ZA,1612046695,94,-33.918,25.5701,64.4,6.91
301,borovoy,18,RU,1612046695,76,55.4333,86.0833,-20.2,2.24
302,west wendover,90,US,1612046695,36,40.7391,-114.0733,44.6,4.61
303,brooks,26,CA,1612046696,79,50.5834,-111.8851,15.8,3.44
304,coahuayana,40,MX,1612046696,51,18.7333,-103.6833,84.2,6.91
305,bandundu,91,CD,1612046696,91,-3.3167,17.3667,71.49,2.62
306,meulaboh,88,ID,1612046696,85,4.1363,96.1285,74.84,4.56
307,ghanaur,0,IN,1612046697,55,30.3322,76.6072,45.97,5.97
308,bukachacha,56,RU,1612046697,80,52.9833,116.9167,-29.04,2.93
309,timmins,20,CA,1612046697,66,48.4669,-81.3331,6.8,5.75
310,inhambane,6,MZ,1612046697,81,-23.865,35.3833,78.57,6.58
311,geraldton,0,AU,1612046698,28,-28.7667,114.6,84.2,8.05
312,hyeres,0,FR,1612046541,66,43.1167,6.1167,51.8,20.71
313,birin,0,NP,1612046698,76,26.8865,88.0718,40.28,3.67
314,conceicao do araguaia,100,BR,1612046698,90,-8.2578,-49.2647,75.4,2.59
315,harbour breton,100,CA,1612046698,92,47.4833,-55.7983,30.47,8.97
316,zhigansk,75,RU,1612046699,76,66.7697,123.3711,-50.01,1.45
317,nyborg,0,DK,1612046699,86,55.3127,10.7896,33.01,8.01
318,nurota,96,UZ,1612046699,65,40.5614,65.6886,41.0,6.91
319,weihe,100,CN,1612046699,70,32.9952,105.3247,36.14,2.13
320,broome,1,US,1612046458,67,42.2506,-75.833,17.6,10.36
321,nishihara,40,JP,1612046700,63,26.1842,127.7558,59.0,8.05
322,oswego,90,US,1612046700,73,43.4501,-76.1497,21.2,10.36
323,bodden town,20,KY,1612046700,61,19.2833,-81.25,80.6,18.41
324,itarema,61,BR,1612046700,78,-2.9248,-39.9167,80.08,12.93
325,kattivakkam,20,IN,1612046701,94,13.2167,80.3167,73.4,6.22
326,havre-saint-pierre,90,CA,1612046701,79,50.2334,-63.5986,21.2,12.66
327,parabel,100,RU,1612046702,84,58.6978,81.4825,-24.09,8.39
328,serafimovich,92,RU,1612046702,92,49.5786,42.736,37.0,5.99
329,aras,91,ES,1612046703,78,42.5617,-2.356,45.0,3.0
330,ajdabiya,0,LY,1612046703,74,30.7554,20.2263,58.08,2.51
331,isangel,40,VU,1612046627,69,-19.55,169.2667,82.4,9.22
332,loukhi,100,RU,1612046704,97,66.0764,33.0381,12.31,6.33
333,alihe,100,CN,1612046705,85,50.5667,123.7167,-19.61,0.76
334,doka,0,SD,1612046705,57,13.5167,35.7667,71.35,13.58
335,inirida,94,CO,1612046706,67,3.8653,-67.9239,81.05,2.53
336,saldanha,0,ZA,1612046465,91,-33.0117,17.9442,64.69,5.06
337,murakami,75,JP,1612046706,64,38.2333,139.4833,35.6,24.16
338,burnie,83,AU,1612046612,58,-41.0667,145.9167,61.0,8.01
339,rumoi,96,JP,1612046706,94,43.9344,141.6428,23.97,12.28
340,inverbervie,90,GB,1612046707,86,56.8446,-2.28,33.8,4.61
341,santa isabel,0,BR,1612046707,74,-23.3156,-46.2214,84.2,6.91
342,mount gambier,0,AU,1612046707,77,-37.8333,140.7667,60.8,8.05
343,kijang,0,KR,1612046707,80,35.2442,129.2139,30.2,2.3
344,praia,0,CV,1612046707,60,14.9215,-23.5087,73.4,16.11
345,ocampo,2,MX,1612046708,22,21.65,-101.5,72.63,9.28
346,kavieng,99,PG,1612046626,72,-2.5744,150.7967,83.34,14.5
347,bundaberg,6,AU,1612046708,69,-24.85,152.35,82.99,12.66
348,constantine,75,DZ,1612046708,71,36.365,6.6147,53.6,8.05
349,talaya,100,RU,1612046709,81,61.3833,152.75,-30.51,7.47
350,jasper,90,US,1612046704,87,37.2001,-94.3502,54.0,12.66
351,hun,0,LY,1612046709,32,29.1268,15.9477,60.85,6.69
352,nalut,0,LY,1612046709,35,30.3333,10.85,56.57,7.72
353,tecolutla,40,MX,1612046710,65,20.4833,-97.0167,80.6,6.91
354,karangampel,100,ID,1612046710,89,-6.4622,108.4519,76.62,10.4
355,dangara,0,IN,1612046710,51,29.6799,75.8931,46.24,2.86
356,harper,34,LR,1612046711,87,4.375,-7.7169,78.42,6.89
357,codrington,67,AU,1612046711,64,-38.2667,141.9667,62.17,7.34
358,kovdor,100,RU,1612046711,95,67.5662,30.4758,7.57,2.15
359,port lincoln,2,AU,1612046545,70,-34.7333,135.8667,63.91,16.96
360,atar,59,MR,1612046712,21,20.5169,-13.0499,68.34,8.25
361,nerchinskiy zavod,100,RU,1612046712,85,51.3088,119.61,-27.2,0.63
362,sapa,100,PH,1612046713,82,5.1544,120.3241,79.66,10.38
363,vrangel,0,RU,1612046713,84,42.7297,133.0839,1.24,8.84
364,malanville,0,BJ,1612046713,18,11.8685,3.3899,75.2,8.23
365,drumnadrochit,90,GB,1612046714,100,57.3344,-4.4799,33.01,0.63
